LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate (%)
CN2111300000000,21,113,"Jessamine County, KY",2015,"24,442     ","23,388     ","1,054     ",4.3
CN2111500000000,21,115,"Johnson County, KY",2015,"7,567     ","6,929     ",638     ,8.4
CN2111700000000,21,117,"Kenton County, KY",2015,"81,007     ","77,319     ","3,688     ",4.6
CN2111900000000,21,119,"Knott County, KY",2015,"4,882     ","4,398     ",484     ,9.9
CN2112100000000,21,121,"Knox County, KY",2015,"9,694     ","8,894     ",800     ,8.3
CN2112300000000,21,123,"Larue County, KY",2015,"5,665     ","5,365     ",300     ,5.3
CN2112500000000,21,125,"Laurel County, KY",2015,"23,216     ","21,746     ","1,470     ",6.3
CN2112700000000,21,127,"Lawrence County, KY",2015,"5,140     ","4,659     ",481     ,9.4
CN2112900000000,21,129,"Lee County, KY",2015,"2,195     ","2,008     ",187     ,8.5
CN2113100000000,21,131,"Leslie County, KY",2015,"2,989     ","2,665     ",324     ,10.8
CN2113300000000,21,133,"Letcher County, KY",2015,"6,912     ","6,138     ",774     ,11.2
CN2113500000000,21,135,"Lewis County, KY",2015,"5,029     ","4,598     ",431     ,8.6
CN2113700000000,21,137,"Lincoln County, KY",2015,"8,947     ","8,329     ",618     ,6.9
CN2113900000000,21,139,"Livingston County, KY",2015,"3,612     ","3,345     ",267     ,7.4
CN2114100000000,21,141,"Logan County, KY",2015,"11,554     ","11,000     ",554     ,4.8
CN2114300000000,21,143,"Lyon County, KY",2015,"2,881     ","2,715     ",166     ,5.8
CN2114500000000,21,145,"McCracken County, KY",2015,"28,214     ","26,544     ","1,670     ",5.9
CN2114700000000,21,147,"McCreary County, KY",2015,"4,789     ","4,392     ",397     ,8.3
CN2114900000000,21,149,"McLean County, KY",2015,"4,187     ","3,978     ",209     ,5.0
CN2115100000000,21,151,"Madison County, KY",2015,"44,277     ","42,314     ","1,963     ",4.4
CN2115300000000,21,153,"Magoffin County, KY",2015,"3,614     ","3,084     ",530     ,14.7
CN2115500000000,21,155,"Marion County, KY",2015,"9,036     ","8,577     ",459     ,5.1
CN2115700000000,21,157,"Marshall County, KY",2015,"14,668     ","13,829     ",839     ,5.7
CN2115900000000,21,159,"Martin County, KY",2015,"3,302     ","2,986     ",316     ,9.6
CN2116100000000,21,161,"Mason County, KY",2015,"7,446     ","6,993     ",453     ,6.1
CN2116300000000,21,163,"Meade County, KY",2015,"11,919     ","11,247     ",672     ,5.6
CN2116500000000,21,165,"Menifee County, KY",2015,"2,324     ","2,121     ",203     ,8.7
CN2116700000000,21,167,"Mercer County, KY",2015,"9,673     ","9,181     ",492     ,5.1
CN2116900000000,21,169,"Metcalfe County, KY",2015,"4,004     ","3,792     ",212     ,5.3
CN2117100000000,21,171,"Monroe County, KY",2015,"4,556     ","4,356     ",200     ,4.4
CN2117300000000,21,173,"Montgomery County, KY",2015,"11,620     ","10,850     ",770     ,6.6
CN2117500000000,21,175,"Morgan County, KY",2015,"4,612     ","4,245     ",367     ,8.0
CN2117700000000,21,177,"Muhlenberg County, KY",2015,"11,856     ","11,016     ",840     ,7.1
CN2117900000000,21,179,"Nelson County, KY",2015,"20,769     ","19,701     ","1,068     ",5.1
CN2118100000000,21,181,"Nicholas County, KY",2015,"3,292     ","3,093     ",199     ,6.0
CN2118300000000,21,183,"Ohio County, KY",2015,"9,250     ","8,657     ",593     ,6.4
CN2118500000000,21,185,"Oldham County, KY",2015,"29,834     ","28,642     ","1,192     ",4.0
CN2118700000000,21,187,"Owen County, KY",2015,"5,383     ","5,160     ",223     ,4.1
CN2118900000000,21,189,"Owsley County, KY",2015,"1,139     ","1,021     ",118     ,10.4
CN2119100000000,21,191,"Pendleton County, KY",2015,"6,573     ","6,214     ",359     ,5.5
CN2119300000000,21,193,"Perry County, KY",2015,"9,034     ","8,231     ",803     ,8.9
CN2119500000000,21,195,"Pike County, KY",2015,"20,816     ","18,838     ","1,978     ",9.5
CN2119700000000,21,197,"Powell County, KY",2015,"4,820     ","4,471     ",349     ,7.2
CN2119900000000,21,199,"Pulaski County, KY",2015,"25,455     ","23,940     ","1,515     ",6.0
CN2120100000000,21,201,"Robertson County, KY",2015,794     ,742     ,52     ,6.5
CN2120300000000,21,203,"Rockcastle County, KY",2015,"6,729     ","6,287     ",442     ,6.6
CN2120500000000,21,205,"Rowan County, KY",2015,"10,279     ","9,666     ",613     ,6.0
CN2120700000000,21,207,"Russell County, KY",2015,"6,097     ","5,369     ",728     ,11.9
CN2120900000000,21,209,"Scott County, KY",2015,"26,050     ","24,993     ","1,057     ",4.1
CN2121100000000,21,211,"Shelby County, KY",2015,"22,186     ","21,269     ",917     ,4.1
CN2121300000000,21,213,"Simpson County, KY",2015,"8,191     ","7,794     ",397     ,4.8
CN2121500000000,21,215,"Spencer County, KY",2015,"9,009     ","8,614     ",395     ,4.4
CN2121700000000,21,217,"Taylor County, KY",2015,"10,902     ","10,185     ",717     ,6.6
CN2121900000000,21,219,"Todd County, KY",2015,"5,359     ","5,104     ",255     ,4.8
CN2122100000000,21,221,"Trigg County, KY",2015,"5,623     ","5,294     ",329     ,5.9
CN2122300000000,21,223,"Trimble County, KY",2015,"3,794     ","3,575     ",219     ,5.8
CN2122500000000,21,225,"Union County, KY",2015,"6,142     ","5,720     ",422     ,6.9
CN2122700000000,21,227,"Warren County, KY",2015,"57,784     ","55,134     ","2,650     ",4.6
CN2122900000000,21,229,"Washington County, KY",2015,"6,003     ","5,736     ",267     ,4.4
CN2123100000000,21,231,"Wayne County, KY",2015,"7,143     ","6,567     ",576     ,8.1
CN2123300000000,21,233,"Webster County, KY",2015,"6,079     ","5,764     ",315     ,5.2
CN2123500000000,21,235,"Whitley County, KY",2015,"12,833     ","11,940     ",893     ,7.0
CN2123700000000,21,237,"Wolfe County, KY",2015,"1,917     ","1,723     ",194     ,10.1
CN2123900000000,21,239,"Woodford County, KY",2015,"14,064     ","13,558     ",506     ,3.6
CN2200100000000,22,001,"Acadia Parish, LA",2015,"26,186     ","24,435     ","1,751     ",6.7
CN2200300000000,22,003,"Allen Parish, LA",2015,"8,866     ","8,254     ",612     ,6.9
CN2200500000000,22,005,"Ascension Parish, LA",2015,"60,925     ","57,870     ","3,055     ",5.0
CN2200700000000,22,007,"Assumption Parish, LA",2015,"9,865     ","9,097     ",768     ,7.8
CN2200900000000,22,009,"Avoyelles Parish, LA",2015,"16,077     ","14,889     ","1,188     ",7.4
CN2201100000000,22,011,"Beauregard Parish, LA",2015,"15,227     ","14,275     ",952     ,6.3
CN2201300000000,22,013,"Bienville Parish, LA",2015,"5,838     ","5,362     ",476     ,8.2
CN2201500000000,22,015,"Bossier Parish, LA",2015,"58,126     ","54,862     ","3,264     ",5.6
CN2201700000000,22,017,"Caddo Parish, LA",2015,"110,757     ","102,912     ","7,845     ",7.1
CN2201900000000,22,019,"Calcasieu Parish, LA",2015,"98,561     ","93,280     ","5,281     ",5.4
CN2202100000000,22,021,"Caldwell Parish, LA",2015,"4,064     ","3,732     ",332     ,8.2
CN2202300000000,22,023,"Cameron Parish, LA",2015,"3,599     ","3,432     ",167     ,4.6
CN2202500000000,22,025,"Catahoula Parish, LA",2015,"3,728     ","3,383     ",345     ,9.3
CN2202700000000,22,027,"Claiborne Parish, LA",2015,"6,204     ","5,751     ",453     ,7.3
CN2202900000000,22,029,"Concordia Parish, LA",2015,"7,607     ","6,955     ",652     ,8.6
CN2203100000000,22,031,"De Soto Parish, LA",2015,"11,111     ","10,231     ",880     ,7.9
CN2203300000000,22,033,"East Baton Rouge Parish, LA",2015,"236,689     ","224,033     ","12,656     ",5.3
CN2203500000000,22,035,"East Carroll Parish, LA",2015,"2,236     ","1,925     ",311     ,13.9
CN2203700000000,22,037,"East Feliciana Parish, LA",2015,"8,327     ","7,841     ",486     ,5.8
CN2203900000000,22,039,"Evangeline Parish, LA",2015,"12,997     ","12,035     ",962     ,7.4
CN2204100000000,22,041,"Franklin Parish, LA",2015,"7,608     ","6,884     ",724     ,9.5
CN2204300000000,22,043,"Grant Parish, LA",2015,"8,522     ","7,906     ",616     ,7.2
CN2204500000000,22,045,"Iberia Parish, LA",2015,"32,226     ","29,677     ","2,549     ",7.9
CN2204700000000,22,047,"Iberville Parish, LA",2015,"14,610     ","13,570     ","1,040     ",7.1
CN2204900000000,22,049,"Jackson Parish, LA",2015,"7,206     ","6,772     ",434     ,6.0
CN2205100000000,22,051,"Jefferson Parish, LA",2015,"220,629     ","208,096     ","12,533     ",5.7
CN2205300000000,22,053,"Jefferson Davis Parish, LA",2015,"13,589     ","12,750     ",839     ,6.2
CN2205500000000,22,055,"Lafayette Parish, LA",2015,"119,830     ","113,143     ","6,687     ",5.6
CN2205700000000,22,057,"Lafourche Parish, LA",2015,"46,863     ","44,363     ","2,500     ",5.3
CN2205900000000,22,059,"LaSalle Parish, LA",2015,"6,685     ","6,237     ",448     ,6.7
CN2206100000000,22,061,"Lincoln Parish, LA",2015,"20,150     ","18,687     ","1,463     ",7.3
CN2206300000000,22,063,"Livingston Parish, LA",2015,"67,857     ","64,421     ","3,436     ",5.1
CN2206500000000,22,065,"Madison Parish, LA",2015,"3,941     ","3,576     ",365     ,9.3
CN2206700000000,22,067,"Morehouse Parish, LA",2015,"10,860     ","9,673     ","1,187     ",10.9
CN2206900000000,22,069,"Natchitoches Parish, LA",2015,"15,938     ","14,689     ","1,249     ",7.8
CN2207100000000,22,071,"Orleans Parish, LA",2015,"180,778     ","169,098     ","11,680     ",6.5
CN2207300000000,22,073,"Ouachita Parish, LA",2015,"72,395     ","67,650     ","4,745     ",6.6
CN2207500000000,22,075,"Plaquemines Parish, LA",2015,"10,373     ","9,799     ",574     ,5.5
CN2207700000000,22,077,"Pointe Coupee Parish, LA",2015,"10,276     ","9,610     ",666     ,6.5
CN2207900000000,22,079,"Rapides Parish, LA",2015,"58,577     ","54,843     ","3,734     ",6.4
CN2208100000000,22,081,"Red River Parish, LA",2015,"3,961     ","3,690     ",271     ,6.8
CN2208300000000,22,083,"Richland Parish, LA",2015,"8,714     ","7,963     ",751     ,8.6
CN2208500000000,22,085,"Sabine Parish, LA",2015,"9,509     ","8,837     ",672     ,7.1
CN2208700000000,22,087,"St. Bernard Parish, LA",2015,"19,424     ","18,149     ","1,275     ",6.6
CN2208900000000,22,089,"St. Charles Parish, LA",2015,"25,750     ","24,295     ","1,455     ",5.7
CN2209100000000,22,091,"St. Helena Parish, LA",2015,"4,585     ","4,177     ",408     ,8.9
CN2209300000000,22,093,"St. James Parish, LA",2015,"9,895     ","9,069     ",826     ,8.3
CN2209500000000,22,095,"St. John the Baptist Parish, LA",2015,"20,553     ","19,043     ","1,510     ",7.3
CN2209700000000,22,097,"St. Landry Parish, LA",2015,"33,832     ","31,143     ","2,689     ",7.9
CN2209900000000,22,099,"St. Martin Parish, LA",2015,"24,235     ","22,602     ","1,633     ",6.7
CN2210100000000,22,101,"St. Mary Parish, LA",2015,"24,523     ","22,688     ","1,835     ",7.5
CN2210300000000,22,103,"St. Tammany Parish, LA",2015,"116,272     ","110,053     ","6,219     ",5.3
CN2210500000000,22,105,"Tangipahoa Parish, LA",2015,"54,029     ","50,159     ","3,870     ",7.2
CN2210700000000,22,107,"Tensas Parish, LA",2015,"1,735     ","1,566     ",169     ,9.7
CN2210900000000,22,109,"Terrebonne Parish, LA",2015,"53,135     ","50,003     ","3,132     ",5.9
CN2211100000000,22,111,"Union Parish, LA",2015,"9,418     ","8,757     ",661     ,7.0
CN2211300000000,22,113,"Vermilion Parish, LA",2015,"26,123     ","24,359     ","1,764     ",6.8
CN2211500000000,22,115,"Vernon Parish, LA",2015,"17,703     ","16,340     ","1,363     ",7.7
CN2211700000000,22,117,"Washington Parish, LA",2015,"17,043     ","15,750     ","1,293     ",7.6
CN2211900000000,22,119,"Webster Parish, LA",2015,"15,690     ","14,323     ","1,367     ",8.7
CN2212100000000,22,121,"West Baton Rouge Parish, LA",2015,"13,169     ","12,431     ",738     ,5.6
CN2212300000000,22,123,"West Carroll Parish, LA",2015,"4,162     ","3,607     ",555     ,13.3
CN2212500000000,22,125,"West Feliciana Parish, LA",2015,"5,460     ","5,175     ",285     ,5.2
CN2212700000000,22,127,"Winn Parish, LA",2015,"5,382     ","4,934     ",448     ,8.3
CN2300100000000,23,001,"Androscoggin County, ME",2015,"54,566     ","52,307     ","2,259     ",4.1
CN2300300000000,23,003,"Aroostook County, ME",2015,"31,629     ","29,734     ","1,895     ",6.0
CN2300500000000,23,005,"Cumberland County, ME",2015,"156,529     ","151,229     ","5,300     ",3.4
CN2300700000000,23,007,"Franklin County, ME",2015,"14,492     ","13,801     ",691     ,4.8
CN2300900000000,23,009,"Hancock County, ME",2015,"28,857     ","27,222     ","1,635     ",5.7
CN2301100000000,23,011,"Kennebec County, ME",2015,"61,366     ","58,769     ","2,597     ",4.2
CN2301300000000,23,013,"Knox County, ME",2015,"20,282     ","19,451     ",831     ,4.1
CN2301500000000,23,015,"Lincoln County, ME",2015,"16,678     ","15,937     ",741     ,4.4
CN2301700000000,23,017,"Oxford County, ME",2015,"26,479     ","25,032     ","1,447     ",5.5
CN2301900000000,23,019,"Penobscot County, ME",2015,"76,643     ","72,994     ","3,649     ",4.8
CN2302100000000,23,021,"Piscataquis County, ME",2015,"7,450     ","7,021     ",429     ,5.8
CN2302300000000,23,023,"Sagadahoc County, ME",2015,"18,790     ","18,132     ",658     ,3.5
CN2302500000000,23,025,"Somerset County, ME",2015,"23,453     ","21,913     ","1,540     ",6.6
CN2302700000000,23,027,"Waldo County, ME",2015,"20,354     ","19,312     ","1,042     ",5.1
CN2302900000000,23,029,"Washington County, ME",2015,"13,988     ","13,060     ",928     ,6.6
CN2303100000000,23,031,"York County, ME",2015,"108,195     ","103,942     ","4,253     ",3.9
CN2400100000000,24,001,"Allegany County, MD",2015,"32,732     ","30,421     ","2,311     ",7.1
CN2400300000000,24,003,"Anne Arundel County, MD",2015,"300,068     ","286,525     ","13,543     ",4.5
CN2400500000000,24,005,"Baltimore County, MD",2015,"444,854     ","420,626     ","24,228     ",5.4
CN2400900000000,24,009,"Calvert County, MD",2015,"47,681     ","45,466     ","2,215     ",4.6
CN2401100000000,24,011,"Caroline County, MD",2015,"17,461     ","16,486     ",975     ,5.6
CN2401300000000,24,013,"Carroll County, MD",2015,"93,569     ","89,535     ","4,034     ",4.3
CN2401500000000,24,015,"Cecil County, MD",2015,"53,245     ","50,042     ","3,203     ",6.0
CN2401700000000,24,017,"Charles County, MD",2015,"80,945     ","76,849     ","4,096     ",5.1
CN2401900000000,24,019,"Dorchester County, MD",2015,"15,849     ","14,683     ","1,166     ",7.4
CN2402100000000,24,021,"Frederick County, MD",2015,"129,295     ","123,428     ","5,867     ",4.5
CN2402300000000,24,023,"Garrett County, MD",2015,"15,564     ","14,552     ","1,012     ",6.5
CN2402500000000,24,025,"Harford County, MD",2015,"136,343     ","129,496     ","6,847     ",5.0
CN2402700000000,24,027,"Howard County, MD",2015,"175,167     ","168,295     ","6,872     ",3.9
CN2402900000000,24,029,"Kent County, MD",2015,"10,625     ","10,046     ",579     ,5.4
CN2403100000000,24,031,"Montgomery County, MD",2015,"549,287     ","527,510     ","21,777     ",4.0
CN2403300000000,24,033,"Prince George's County, MD",2015,"490,697     ","464,649     ","26,048     ",5.3
CN2403500000000,24,035,"Queen Anne's County, MD",2015,"26,694     ","25,466     ","1,228     ",4.6
CN2403700000000,24,037,"St. Mary's County, MD",2015,"54,498     ","51,797     ","2,701     ",5.0
CN2403900000000,24,039,"Somerset County, MD",2015,"9,438     ","8,659     ",779     ,8.3
CN2404100000000,24,041,"Talbot County, MD",2015,"19,244     ","18,266     ",978     ,5.1
CN2404300000000,24,043,"Washington County, MD",2015,"76,345     ","71,928     ","4,417     ",5.8
CN2404500000000,24,045,"Wicomico County, MD",2015,"50,820     ","47,347     ","3,473     ",6.8
CN2404700000000,24,047,"Worcester County, MD",2015,"26,029     ","23,277     ","2,752     ",10.6
CN2451000000000,24,510,"Baltimore city, MD",2015,"295,482     ","272,756     ","22,726     ",7.7
CN2500100000000,25,001,"Barnstable County, MA",2015,"111,332     ","104,321     ","7,011     ",6.3
CN2500300000000,25,003,"Berkshire County, MA",2015,"65,608     ","61,950     ","3,658     ",5.6
CN2500500000000,25,005,"Bristol County, MA",2015,"288,062     ","269,918     ","18,144     ",6.3
CN2500700000000,25,007,"Dukes County, MA",2015,"9,328     ","8,688     ",640     ,6.9
CN2500900000000,25,009,"Essex County, MA",2015,"405,706     ","384,778     ","20,928     ",5.2
CN2501100000000,25,011,"Franklin County, MA",2015,"39,341     ","37,564     ","1,777     ",4.5
CN2501300000000,25,013,"Hampden County, MA",2015,"221,258     ","206,291     ","14,967     ",6.8
CN2501500000000,25,015,"Hampshire County, MA",2015,"86,635     ","82,800     ","3,835     ",4.4
CN2501700000000,25,017,"Middlesex County, MA",2015,"857,671     ","822,940     ","34,731     ",4.0
CN2501900000000,25,019,"Nantucket County/town, MA",2015,"6,948     ","6,565     ",383     ,5.5
CN2502100000000,25,021,"Norfolk County, MA",2015,"368,331     ","352,319     ","16,012     ",4.3
CN2502300000000,25,023,"Plymouth County, MA",2015,"267,574     ","253,582     ","13,992     ",5.2
CN2502500000000,25,025,"Suffolk County, MA",2015,"416,871     ","397,615     ","19,256     ",4.6
CN2502700000000,25,027,"Worcester County, MA",2015,"425,290     ","402,778     ","22,512     ",5.3
CN2600100000000,26,001,"Alcona County, MI",2015,"3,842     ","3,546     ",296     ,7.7
CN2600300000000,26,003,"Alger County, MI",2015,"3,242     ","2,975     ",267     ,8.2
CN2600500000000,26,005,"Allegan County, MI",2015,"60,922     ","58,512     ","2,410     ",4.0
CN2600700000000,26,007,"Alpena County, MI",2015,"13,751     ","12,934     ",817     ,5.9
CN2600900000000,26,009,"Antrim County, MI",2015,"10,052     ","9,332     ",720     ,7.2
CN2601100000000,26,011,"Arenac County, MI",2015,"6,258     ","5,719     ",539     ,8.6
CN2601300000000,26,013,"Baraga County, MI",2015,"3,306     ","3,016     ",290     ,8.8
CN2601500000000,26,015,"Barry County, MI",2015,"30,639     ","29,390     ","1,249     ",4.1
CN2601700000000,26,017,"Bay County, MI",2015,"52,570     ","49,668     ","2,902     ",5.5
CN2601900000000,26,019,"Benzie County, MI",2015,"8,794     ","8,214     ",580     ,6.6
CN2602100000000,26,021,"Berrien County, MI",2015,"74,150     ","70,456     ","3,694     ",5.0
CN2602300000000,26,023,"Branch County, MI",2015,"19,256     ","18,315     ",941     ,4.9
CN2602500000000,26,025,"Calhoun County, MI",2015,"64,682     ","61,523     ","3,159     ",4.9
CN2602700000000,26,027,"Cass County, MI",2015,"24,288     ","23,123     ","1,165     ",4.8
CN2602900000000,26,029,"Charlevoix County, MI",2015,"13,207     ","12,453     ",754     ,5.7
CN2603100000000,26,031,"Cheboygan County, MI",2015,"10,695     ","9,756     ",939     ,8.8
CN2603300000000,26,033,"Chippewa County, MI",2015,"16,880     ","15,623     ","1,257     ",7.4
CN2603500000000,26,035,"Clare County, MI",2015,"11,896     ","11,016     ",880     ,7.4
CN2603700000000,26,037,"Clinton County, MI",2015,"40,104     ","38,607     ","1,497     ",3.7
CN2603900000000,26,039,"Crawford County, MI",2015,"5,254     ","4,858     ",396     ,7.5
CN2604100000000,26,041,"Delta County, MI",2015,"17,336     ","16,213     ","1,123     ",6.5
CN2604300000000,26,043,"Dickinson County, MI",2015,"12,802     ","12,114     ",688     ,5.4
CN2604500000000,26,045,"Eaton County, MI",2015,"56,313     ","53,934     ","2,379     ",4.2
CN2604700000000,26,047,"Emmet County, MI",2015,"17,762     ","16,538     ","1,224     ",6.9
CN2604900000000,26,049,"Genesee County, MI",2015,"182,886     ","172,233     ","10,653     ",5.8
CN2605100000000,26,051,"Gladwin County, MI",2015,"10,116     ","9,416     ",700     ,6.9
CN2605300000000,26,053,"Gogebic County, MI",2015,"6,625     ","6,164     ",461     ,7.0
CN2605500000000,26,055,"Grand Traverse County, MI",2015,"48,580     ","46,419     ","2,161     ",4.4
CN2605700000000,26,057,"Gratiot County, MI",2015,"18,429     ","17,430     ",999     ,5.4
CN2605900000000,26,059,"Hillsdale County, MI",2015,"20,918     ","19,857     ","1,061     ",5.1
CN2606100000000,26,061,"Houghton County, MI",2015,"16,743     ","15,735     ","1,008     ",6.0
CN2606300000000,26,063,"Huron County, MI",2015,"16,603     ","15,748     ",855     ,5.1
CN2606500000000,26,065,"Ingham County, MI",2015,"146,501     ","139,986     ","6,515     ",4.4
CN2606700000000,26,067,"Ionia County, MI",2015,"29,544     ","28,251     ","1,293     ",4.4
CN2606900000000,26,069,"Iosco County, MI",2015,"10,158     ","9,425     ",733     ,7.2
CN2607100000000,26,071,"Iron County, MI",2015,"5,265     ","4,911     ",354     ,6.7
CN2607300000000,26,073,"Isabella County, MI",2015,"35,647     ","34,028     ","1,619     ",4.5
CN2607500000000,26,075,"Jackson County, MI",2015,"73,043     ","69,324     ","3,719     ",5.1
CN2607700000000,26,077,"Kalamazoo County, MI",2015,"129,993     ","124,614     ","5,379     ",4.1
CN2607900000000,26,079,"Kalkaska County, MI",2015,"7,761     ","7,197     ",564     ,7.3
CN2608100000000,26,081,"Kent County, MI",2015,"343,743     ","331,429     ","12,314     ",3.6
CN2608300000000,26,083,"Keweenaw County, MI",2015,966     ,882     ,84     ,8.7
CN2608500000000,26,085,"Lake County, MI",2015,"3,694     ","3,392     ",302     ,8.2
CN2608700000000,26,087,"Lapeer County, MI",2015,"39,322     ","36,355     ","2,967     ",7.5
CN2608900000000,26,089,"Leelanau County, MI",2015,"10,673     ","10,137     ",536     ,5.0
CN2609100000000,26,091,"Lenawee County, MI",2015,"47,944     ","45,643     ","2,301     ",4.8
CN2609300000000,26,093,"Livingston County, MI",2015,"94,748     ","90,101     ","4,647     ",4.9
CN2609500000000,26,095,"Luce County, MI",2015,"2,511     ","2,345     ",166     ,6.6
CN2609700000000,26,097,"Mackinac County, MI",2015,"5,158     ","4,679     ",479     ,9.3
CN2609900000000,26,099,"Macomb County, MI",2015,"415,825     ","390,572     ","25,253     ",6.1
CN2610100000000,26,101,"Manistee County, MI",2015,"10,554     ","9,889     ",665     ,6.3
